enroll_id,start_time,time_spent_in_sec
661,2023-06-17 16:37:48,2330
661,2024-03-14 17:09:45,1257
661,2023-12-09 22:46:52,1523
119,2024-09-18 15:34:52,833
119,2024-08-28 17:06:44,664
119,2024-09-10 15:38:48,1656
750,2022-07-10 06:08:13,3145
750,2023-07-16 10:15:25,1227
750,2022-09-14 07:54:42,938
675,2024-09-10 04:59:30,3219
675,2024-09-28 13:03:45,3016
675,2024-09-12 05:50:22,820
518,2024-02-17 17:02:22,3287
518,2024-04-24 10:27:11,2808
518,2024-03-28 23:07:49,2176
131,2023-12-31 21:41:28,3061
131,2022-10-31 23:17:02,1491
131,2023-06-08 00:16:40,2749
382,2024-07-11 20:39:11,2498
382,2024-06-22 01:45:14,900
382,2024-07-22 21:08:18,3341
734,2024-06-11 12:16:24,2522
734,2024-09-19 01:33:09,2367
734,2024-06-19 06:26:30,3149
685,2023-10-26 09:17:26,2285
685,2024-08-16 09:04:59,2034
685,2023-12-19 13:22:47,2159
639,2024-08-23 05:13:22,2005
639,2024-08-21 20:37:47,1970
639,2024-07-01 12:57:06,2209
237,2024-07-06 15:42:36,3266
237,2024-03-12 06:04:31,3548
237,2024-06-14 13:37:58,1414
259,2024-03-14 09:14:59,1252
259,2023-10-28 17:11:51,1935
259,2023-07-10 14:09:45,1562
787,2023-08-28 01:55:22,1791
787,2022-06-07 05:38:47,998
787,2023-02-12 20:21:51,1107
330,2024-06-08 11:51:26,2459
330,2024-07-20 15:52:32,3314
330,2022-07-05 02:32:04,2416
839,2024-01-26 08:37:23,2535
839,2023-11-17 10:20:31,1214
839,2024-08-12 21:42:02,3550
760,2024-07-24 17:55:44,1372
760,2024-03-03 15:43:49,1474
760,2024-04-01 14:39:59,921
179,2024-09-10 16:38:48,1878
179,2024-08-14 15:06:28,1622
179,2024-01-10 22:49:45,1067
714,2023-05-26 23:12:11,3171
714,2023-08-22 05:04:12,2945
714,2024-08-26 08:15:29,1604
130,2024-10-04 06:36:53,1123
130,2024-10-05 01:23:09,3027
130,2024-10-06 05:32:01,2570
172,2024-08-09 01:44:19,1842
172,2024-06-16 01:06:59,3254
172,2024-01-01 13:52:39,667
333,2023-11-30 12:35:04,3196
333,2023-12-18 08:03:55,3037
333,2024-09-24 12:10:03,2197
948,2024-02-25 10:20:53,1174
948,2024-09-14 11:49:12,1985
948,2024-09-14 15:08:43,886
577,2024-05-20 18:25:00,2167
577,2024-03-31 12:31:15,1064
577,2024-07-27 06:26:53,1659
505,2024-05-20 23:38:26,1892
505,2024-06-24 17:22:00,2285
505,2024-07-19 21:33:07,3174
383,2024-06-21 22:53:13,1784
383,2024-08-31 18:19:31,2186
383,2024-09-21 18:28:13,1265
421,2024-04-03 13:37:46,3032
421,2024-04-13 17:29:22,2643
421,2023-12-27 03:45:02,978
596,2024-09-30 05:34:22,931
596,2024-05-20 02:09:39,1182
596,2024-08-22 14:04:58,2508
5,2024-06-21 12:07:26,3341
5,2023-05-04 02:48:36,1207
5,2024-06-08 06:27:40,3467
152,2024-07-16 07:04:33,3044
152,2024-06-05 03:40:00,3152
152,2024-10-07 03:07:27,1883
773,2024-01-10 12:55:42,1177
773,2023-10-30 23:22:42,839
773,2024-05-23 12:38:12,1890
376,2024-07-14 02:43:59,2377
376,2024-02-11 21:01:11,2378
376,2024-04-11 22:39:49,809
334,2023-10-01 01:40:06,649
334,2024-01-19 00:13:38,3133
334,2023-04-12 17:32:40,2166
842,2024-09-06 05:49:44,1213
842,2024-10-07 13:58:33,1188
842,2024-09-09 21:20:41,3274
728,2023-06-20 13:07:54,1768
728,2024-09-03 22:59:56,3055
728,2024-02-10 03:40:39,3469
765,2023-12-08 05:37:23,3093
765,2024-03-31 07:55:42,3204
765,2024-06-12 12:46:35,1006
761,2024-01-02 08:58:11,2741
761,2024-05-14 09:55:34,2620
761,2024-07-15 15:35:07,1739
339,2024-06-04 22:52:57,881
339,2024-04-14 18:30:52,1171
339,2023-12-04 12:50:44,3068
234,2024-06-05 17:09:52,2093
234,2024-08-05 02:27:29,1856
234,2024-06-01 16:45:34,1554
680,2024-01-08 10:34:32,2478
680,2024-09-17 01:40:45,2099
680,2023-12-03 16:40:53,908
222,2024-03-20 11:05:05,2435
222,2023-12-19 18:00:32,1151
222,2024-03-08 10:03:31,2137
574,2024-06-29 15:21:10,3486
574,2024-08-21 16:55:38,1626
574,2024-08-06 02:01:38,3230
721,2024-10-07 06:05:12,2689
721,2024-10-01 04:10:36,757
721,2024-10-07 21:22:19,2583
247,2024-08-02 07:52:09,3428
247,2024-07-26 03:55:28,860
247,2024-07-28 07:17:07,2652
943,2023-12-22 21:26:41,2196
943,2024-06-25 21:42:22,1283
943,2024-07-29 23:42:30,2147
481,2024-10-02 11:15:59,3567
481,2024-07-19 19:13:16,2970
481,2024-07-27 07:13:56,2418
716,2024-09-14 07:09:48,696
716,2024-08-30 00:47:22,2294
716,2024-09-28 02:36:41,2894
923,2023-11-29 17:26:02,2277
923,2023-04-07 05:37:39,1797
923,2023-05-22 02:17:33,3387
308,2024-09-28 00:27:23,1193
308,2024-09-15 04:45:39,883
308,2024-09-07 15:56:37,2631
399,2024-09-04 02:43:34,2781
399,2024-09-30 16:25:34,2985
399,2024-09-24 03:12:17,1348
508,2024-08-04 18:56:07,3407
508,2024-09-21 05:36:20,1416
508,2024-08-07 10:49:43,3323
