course_id,course_name,description,duration,difficulty_level,createdAt
143,Course 1 - Account,Mission cultural specific president including parent whose do new help close affect.,5 months,BEGINNER,2024-04-10 01:16:54
251,Course 2 - Painting,Back event large quality keep actually lawyer any want hear line your end.,3 months,BASIC,2022-05-19 13:38:48
483,Course 3 - Strategy,Operation simple ball soon debate three something coach take.,4 months,BASIC,2020-03-06 00:05:15
461,Course 4 - Painting,Past upon ahead later give top site year national deal company movement.,2 months,EXPERT,2020-03-25 02:15:32
116,Course 5 - Century,Too tree personal meeting but service cell garden.,2 months,EXPERT,2021-05-18 10:08:18
961,Course 6 - View,Politics their camera he turn think tell success half third through the next.,2 months,INTERMEDIATE,2023-04-14 15:22:59
536,Course 7 - Others,Vote last understand least easy goal address training way course.,4 months,BEGINNER,2024-06-05 01:43:36
272,Course 8 - Beyond,Forward nation standard serious serious past physical television election mother receive others.,3 months,INTERMEDIATE,2022-03-14 14:30:32
260,Course 9 - Must,Model early school across fly worry base ability media expert particular road.,3 months,BASIC,2022-09-19 05:39:58
355,Course 10 - Door,Fight of form important those brother beautiful important by thus return.,5 months,EXPERT,2023-10-19 05:28:48
