course_id,course_name,description,duration,difficulty_level,createdAt,learning_paths
156,Course 1 - Organization,Today work television others area perhaps lot fish recent air.,6 months,INTERMEDIATE,2023-09-04 20:48:58,[204]
367,Course 2 - Experience,Front suddenly future real mother create cover.,3 months,INTERMEDIATE,2022-07-24 10:11:23,"[204, 324]"
296,Course 3 - Perform,Hear open hope fear develop computer special least total into.,2 months,BASIC,2020-06-24 05:03:44,"[81, 413]"
34,Course 4 - Common,Involve home care professional statement close at PM activity support.,3 months,EXPERT,2024-08-20 22:34:49,"[305, 324]"
165,Course 5 - Everything,East make south low along professional fill data community skin white campaign.,5 months,BASIC,2023-02-09 05:12:45,"[204, 305]"
38,Course 6 - Thousand,High kind result manager significant crime feel why organization together.,5 months,EXPERT,2021-08-25 00:03:18,"[81, 204]"
446,Course 7 - Book,Population particular score part sell experience expert set election from as economic.,2 months,INTERMEDIATE,2020-10-22 07:03:50,"[305, 81]"
746,Course 8 - Expert,Strategy reveal environment radio argue understand change tax.,6 months,BASIC,2020-02-27 04:30:22,"[413, 81, 305]"
822,Course 9 - Write,Rich type although claim door couple use risk body design leave.,2 months,BEGINNER,2023-11-19 11:06:23,"[305, 81, 413]"
236,Course 10 - Decision,Window case much ten second moment least throw spring feel art yet street.,3 months,BASIC,2023-01-04 06:26:42,"[305, 204, 81]"
