enroll_id,emp_id,course_id,current_page,total_pages,test_score,course_certificate_generate,createdAt
661,cf602b73-5259-4433-adc4-4d20ac03bcc3,165,39,100,61.31,False,2023-02-28 01:27:43
119,185bab1c-c62d-4183-8043-06e42023a272,236,42,100,73.7,False,2024-08-01 18:18:53
750,b74c987d-c1c1-4332-9260-fe7bd011ea01,746,42,100,10.22,False,2021-08-22 10:50:30
675,09ab41de-3c47-45dc-b7be-58a0b3321270,34,37,100,92.23,True,2024-08-30 19:25:38
518,06483035-e301-432c-8b19-ef0a4db4d8c5,156,24,100,55.58,True,2024-01-09 00:26:08
131,09ab41de-3c47-45dc-b7be-58a0b3321270,296,13,100,88.22,True,2022-02-15 15:47:49
382,acc3c3b3-f947-47da-bec9-6c5e5e362f4c,156,16,100,36.8,True,2023-12-23 15:12:39
734,185bab1c-c62d-4183-8043-06e42023a272,156,35,100,85.71,False,2023-12-07 06:10:11
685,775775bc-2397-4950-823f-aeab19a5f89f,38,44,100,9.66,True,2023-02-07 09:47:03
639,922831e1-959b-449d-86b9-47ce8cfebaa5,156,23,100,56.88,True,2024-06-04 09:45:44
237,64c04d8e-f27e-45f5-a6fb-1e953c365c41,165,46,100,92.47,True,2024-02-27 22:38:43
259,d97fc098-edb4-43c7-a02b-24386b5169bb,236,45,100,19.12,False,2023-06-23 23:17:37
787,64c04d8e-f27e-45f5-a6fb-1e953c365c41,38,26,100,62.66,True,2022-05-22 02:39:53
330,f2aa6eda-1970-4727-8a1c-fcff1b41906f,746,40,100,2.38,False,2022-02-05 08:55:52
839,a65c20a6-5930-4aec-b9bf-2a9768a9fab8,156,49,100,85.03,True,2023-09-29 22:47:46
760,acc3c3b3-f947-47da-bec9-6c5e5e362f4c,746,4,100,27.24,False,2022-09-20 19:00:09
179,775775bc-2397-4950-823f-aeab19a5f89f,156,20,100,60.83,False,2023-12-27 10:08:11
714,775775bc-2397-4950-823f-aeab19a5f89f,38,44,100,44.46,True,2022-09-17 07:54:43
130,185bab1c-c62d-4183-8043-06e42023a272,446,25,100,58.71,False,2024-09-24 20:12:46
172,922831e1-959b-449d-86b9-47ce8cfebaa5,367,4,100,74.98,True,2023-12-06 07:13:06
333,acc3c3b3-f947-47da-bec9-6c5e5e362f4c,746,22,100,0.5,False,2022-04-20 09:56:48
948,e1858a73-d03d-4ecc-9893-342afbb75984,236,0,100,14.99,False,2023-12-20 11:04:42
577,09ab41de-3c47-45dc-b7be-58a0b3321270,165,39,100,1.95,False,2024-03-13 12:12:47
505,34dbb72e-f95e-423d-ac72-5b228cfe0ea7,156,43,100,95.08,True,2024-05-10 04:39:43
383,775775bc-2397-4950-823f-aeab19a5f89f,165,31,100,13.49,False,2024-06-02 23:55:18
421,09ab41de-3c47-45dc-b7be-58a0b3321270,367,10,100,90.77,False,2023-12-23 15:32:30
596,06483035-e301-432c-8b19-ef0a4db4d8c5,156,47,100,45.56,False,2024-04-29 14:24:08
5,34dbb72e-f95e-423d-ac72-5b228cfe0ea7,746,22,100,23.09,True,2021-03-26 05:59:23
152,922831e1-959b-449d-86b9-47ce8cfebaa5,38,45,100,18.27,False,2024-02-20 18:09:08
773,a65c20a6-5930-4aec-b9bf-2a9768a9fab8,156,26,100,12.94,True,2023-10-19 02:09:53
376,09ab41de-3c47-45dc-b7be-58a0b3321270,165,4,100,92.87,True,2023-12-07 23:05:47
334,cf602b73-5259-4433-adc4-4d20ac03bcc3,296,10,100,48.98,True,2023-02-11 00:51:28
842,06483035-e301-432c-8b19-ef0a4db4d8c5,165,8,100,13.53,False,2024-09-05 17:42:23
728,06483035-e301-432c-8b19-ef0a4db4d8c5,236,36,100,34.6,False,2023-05-13 02:41:20
765,7adeab8f-f403-4b16-8596-37e15ac03786,746,45,100,83.7,False,2023-08-26 20:43:03
761,3a75d201-1755-49ec-bfb6-c170e08f5652,236,34,100,26.48,True,2023-06-14 21:21:48
339,cf602b73-5259-4433-adc4-4d20ac03bcc3,822,9,100,54.93,True,2023-11-22 12:35:52
234,b74c987d-c1c1-4332-9260-fe7bd011ea01,746,40,100,76.34,True,2024-01-18 15:44:34
680,b74c987d-c1c1-4332-9260-fe7bd011ea01,367,47,100,67.83,True,2023-08-15 14:09:07
222,f2aa6eda-1970-4727-8a1c-fcff1b41906f,38,47,100,34.33,True,2021-11-03 16:06:09
574,8fcb9f2b-25da-4c21-a201-41a2248ef112,296,32,100,19.62,True,2023-07-11 10:25:47
721,775775bc-2397-4950-823f-aeab19a5f89f,822,25,100,13.21,False,2024-09-30 03:43:11
247,09ab41de-3c47-45dc-b7be-58a0b3321270,446,24,100,9.88,True,2023-11-03 14:04:28
943,8fcb9f2b-25da-4c21-a201-41a2248ef112,236,28,100,92.25,False,2023-09-02 00:29:00
481,f2aa6eda-1970-4727-8a1c-fcff1b41906f,822,18,100,3.51,True,2024-06-04 09:57:02
716,922831e1-959b-449d-86b9-47ce8cfebaa5,165,21,100,94.77,False,2024-08-23 15:40:47
923,51958cff-2a07-48a2-8aaf-b8aa53e87a9a,236,5,100,22.23,True,2023-02-02 02:06:51
308,34dbb72e-f95e-423d-ac72-5b228cfe0ea7,34,34,100,66.86,False,2024-09-01 08:19:05
399,b74c987d-c1c1-4332-9260-fe7bd011ea01,34,33,100,86.89,True,2024-08-24 09:57:55
508,ce69c239-1798-4a05-aba0-b9ab9b752b4f,822,0,100,42.72,True,2024-07-18 05:52:29
