emp_id,learning_path_name,completion_rate,test_score_normalized,success_rate,interest_score
JMD001,Frontend,0.8,0.7,0.3,0.6699999999999999
JMD002,Full Stack,1.0,0.6,0.4285714285714285,0.7657142857142857
JMD003,Full Stack,0.5579937304075235,0.0,0.0,0.27899686520376177
JMD100,Software Engineering,0.605,0.21999999999999997,0.3333333333333333,0.43516666666666665
JMD101,Internet of Things (IoT),0.56,0.32,0.0,0.376
JMD102,DevOps,0.7,0.56,0.2,0.558
JMD103,Internet of Things (IoT),0.59,0.25,0.25,0.42
JMD104,AI and Machine Learning,0.53,0.96,0.3333333333333333,0.6196666666666666
JMD105,Web Development,0.25,0.92,0.3333333333333333,0.4676666666666667
JMD106,Internet of Things (IoT),0.18,0.35,0.0,0.195
JMD107,Full Stack,0.86,0.58,0.5,0.704
JMD108,Project Management,0.68,0.8,0.0,0.5800000000000001
JMD109,Software Architecture,0.92,0.86,0.1666666666666666,0.7513333333333333
JMD110,Cloud Computing,0.29,0.51,0.1666666666666666,0.3313333333333333
JMD111,Cloud Computing,0.635,0.78,0.225,0.5965
JMD112,Internet of Things (IoT),0.7949999999999999,0.73,0.125,0.6415
JMD113,Web Development,0.36,0.53,0.0,0.33899999999999997
JMD114,Cybersecurity,0.22,0.81,0.1666666666666666,0.3863333333333333
JMD115,Cloud Computing,0.65,0.62,0.5,0.611
JMD116,Cloud Computing,0.59,0.775,0.20833333333333331,0.5691666666666666
JMD117,Big Data,0.86,0.36,0.2,0.5780000000000001
JMD118,Cloud Computing,0.88,0.85,0.1666666666666666,0.7283333333333334
JMD119,AI and Machine Learning,0.81,0.18,0.25,0.509
JMD120,Quality Assurance,0.8200000000000001,0.33,0.16666666666666666,0.5423333333333333
JMD121,Agile Methodologies,0.93,0.86,0.3333333333333333,0.7896666666666667
JMD122,Blockchain,0.6,0.07,0.2,0.361
JMD123,Project Management,0.75,0.32,0.3333333333333333,0.5376666666666666
JMD124,AI and Machine Learning,0.97,0.78,0.0,0.719
JMD125,DevOps,0.7,0.6,0.0,0.53
JMD126,Cybersecurity,0.95,0.5,0.3333333333333333,0.6916666666666667
JMD127,Blockchain,0.66,0.48,0.3333333333333333,0.5406666666666666
JMD128,Data Science,1.0,0.32,0.1666666666666666,0.6293333333333333
JMD129,AI and Machine Learning,0.55,0.98,0.0,0.569
JMD130,AI and Machine Learning,0.83,0.3,0.25,0.555
JMD131,DevOps,0.65,0.83,0.5,0.6739999999999999
JMD132,Blockchain,0.72,0.77,0.5,0.691
JMD133,Big Data,0.7949999999999999,0.29,0.25,0.5345
JMD134,Big Data,0.81,0.93,0.25,0.7340000000000001
JMD135,Blockchain,0.64,0.97,0.0,0.611
JMD136,Project Management,0.82,0.85,0.2,0.7050000000000001
JMD137,Big Data,0.36,0.4,0.25,0.35
JMD138,Quality Assurance,0.28,0.96,0.2,0.46799999999999997
JMD139,Agile Methodologies,0.98,0.36,0.5,0.698
JMD140,Web Development,0.73,0.32,0.5,0.5609999999999999
JMD141,Software Engineering,0.58,0.43999999999999995,0.35,0.49199999999999994
JMD142,Mobile Development,0.91,0.96,0.3333333333333333,0.8096666666666666
JMD143,Cloud Computing,0.78,0.73,0.5,0.709
JMD144,Big Data,0.91,0.07,0.1666666666666666,0.5093333333333333
JMD145,Agile Methodologies,0.59,0.45,0.3333333333333333,0.49666666666666665
JMD146,DevOps,0.8,0.96,0.3333333333333333,0.7546666666666666
JMD147,AI and Machine Learning,0.49,0.8,0.0,0.485
JMD148,AI and Machine Learning,0.79,0.17,0.25,0.496
JMD149,DevOps,0.85,0.08,0.2,0.489
JMD150,Quality Assurance,0.78,0.91,0.2,0.7030000000000001
JMD151,Mobile Development,0.83,0.1,0.0,0.44499999999999995
JMD152,Blockchain,0.94,0.7,0.25,0.73
JMD153,Internet of Things (IoT),0.97,0.49,0.5,0.732
JMD154,AI and Machine Learning,0.2,0.6,0.1666666666666666,0.31333333333333335
JMD155,Software Architecture,0.7,0.74,0.25,0.622
JMD156,Blockchain,0.46,0.97,0.0,0.521
JMD157,Cloud Computing,0.41500000000000004,0.255,0.25,0.334
JMD158,Cloud Computing,0.65,0.71,0.0,0.538
JMD159,Cloud Computing,0.825,0.6499999999999999,0.29166666666666663,0.6658333333333333
JMD160,Software Engineering,0.98,0.39,0.0,0.607
JMD161,Agile Methodologies,0.89,0.4,0.2,0.605
JMD162,AI and Machine Learning,0.56,0.08,0.5,0.404
JMD163,Cloud Computing,0.82,0.81,0.1666666666666666,0.6863333333333334
JMD164,Blockchain,0.43,0.97,0.5,0.606
JMD165,Blockchain,0.04,0.53,0.3333333333333333,0.24566666666666664
JMD166,Project Management,0.88,0.07,0.5,0.561
JMD167,Cloud Computing,0.88,0.87,0.5,0.801
JMD168,Agile Methodologies,0.99,0.59,0.2,0.712
JMD169,Cloud Computing,0.29,0.34,0.0,0.247
JMD170,Cybersecurity,0.65,0.79,0.0,0.562
JMD171,Cybersecurity,0.81,0.1,0.2,0.4750000000000001
JMD172,Cloud Computing,0.98,0.87,0.5,0.851
JMD173,Software Engineering,0.87,0.97,0.0,0.726
JMD174,Cloud Computing,0.27,0.96,0.25,0.473
JMD175,Agile Methodologies,0.32,0.72,0.2,0.41600000000000004
JMD176,Cybersecurity,0.99,0.57,0.1666666666666666,0.6993333333333333
JMD177,Project Management,0.43000000000000005,0.575,0.1,0.40750000000000003
JMD178,AI and Machine Learning,0.13,1.0,0.25,0.415
JMD179,Project Management,0.395,0.195,0.5,0.356
JMD180,Cybersecurity,0.69,0.03,0.0,0.354
JMD181,Project Management,0.855,0.655,0.1666666666666666,0.6573333333333333
JMD182,Blockchain,0.9,0.3,0.25,0.5900000000000001
JMD183,DevOps,0.85,0.1,0.1666666666666666,0.4883333333333333
JMD184,Mobile Development,0.79,0.6,0.0,0.575
JMD185,Cloud Computing,0.81,0.45,0.5,0.64
JMD186,AI and Machine Learning,0.9,0.62,0.3333333333333333,0.7026666666666667
JMD187,Cloud Computing,0.73,0.51,0.25,0.5680000000000001
JMD188,Agile Methodologies,0.79,0.86,0.2,0.6930000000000001
JMD189,Agile Methodologies,0.89,0.24,0.3333333333333333,0.5836666666666667
JMD190,AI and Machine Learning,0.94,0.26,0.2,0.588
JMD191,Blockchain,0.88,0.68,0.5,0.744
JMD192,Internet of Things (IoT),0.71,0.71,0.5,0.6679999999999999
JMD193,Agile Methodologies,0.24,0.51,0.1666666666666666,0.30633333333333335
JMD194,Software Architecture,0.9,0.91,0.5,0.8230000000000001
JMD195,Data Science,0.84,0.61,0.0,0.603
JMD196,Agile Methodologies,0.76,0.75,0.5,0.705
JMD197,Software Architecture,0.59,0.6499999999999999,0.20833333333333331,0.5316666666666666
JMD198,Project Management,0.86,1.0,0.5,0.83
JMD199,Big Data,0.78,0.57,0.25,0.611
