course_id,course_name,description,duration,difficulty_level,course_img_url,course_file_url
100,Commissioning editor Fundamentals,Loss give employee ball. Eye level popular apply see moment.,5 months,INTERMEDIATE,https://placekitten.com/333/353,https://jackson.net/
101,Neurosurgeon Fundamentals,She change picture. Produce owner voice if. Different leave third city.,1 months,EXPERT,https://placekitten.com/112/589,https://jensen-hart.com/
102,"Merchandiser, retail Fundamentals",Change finish production realize president. Option customer understand act any.,2 months,BEGINNER,https://dummyimage.com/733x259,http://walls.info/
103,Arts development officer Fundamentals,Shoulder pressure subject notice determine sister ability professional.,3 months,INTERMEDIATE,https://dummyimage.com/539x558,https://donovan-hogan.com/
104,"Embryologist, clinical Fundamentals",Interview huge agree. They wish analysis city.,3 months,BEGINNER,https://www.lorempixel.com/767/159,https://www.martinez.com/
105,Marketing executive Fundamentals,Apply bring music institution certain spring.,2 months,INTERMEDIATE,https://placeimg.com/919/573/any,https://hansen-carr.com/
106,Mechanical engineer Fundamentals,Business heart matter experience.,3 months,EXPERT,https://placekitten.com/516/271,https://ellis-vargas.net/
107,Occupational hygienist Fundamentals,Red true factor. Hot quality outside road each final key sing.,1 months,EXPERT,https://www.lorempixel.com/490/164,https://www.davis.com/
108,Arboriculturist Fundamentals,East dog Mrs summer factor remember yeah. Any budget wonder like reveal travel.,1 months,INTERMEDIATE,https://placeimg.com/953/672/any,https://www.garner.biz/
109,IT trainer Fundamentals,Training get security her American garden Democrat despite.,3 months,INTERMEDIATE,https://placekitten.com/574/474,https://www.olson-mckee.com/
110,Site engineer Fundamentals,Yard experience support. Edge enter economic note over.,2 months,INTERMEDIATE,https://dummyimage.com/200x364,http://copeland-simpson.com/
111,"Loss adjuster, chartered Fundamentals",Fund food art hold buy. Common politics level stand.,5 months,EXPERT,https://placekitten.com/998/44,http://www.king.biz/
112,Exercise physiologist Fundamentals,Sometimes participant degree without style build notice.,4 months,EXPERT,https://placeimg.com/832/539/any,https://walls-wood.biz/
113,Theatre stage manager Fundamentals,Few operation language statement defense. Able third draw child.,1 months,INTERMEDIATE,https://www.lorempixel.com/888/265,http://www.morgan-fox.com/
114,Travel agency manager Fundamentals,Upon authority reflect democratic. Guess too against pretty remain short heavy.,4 months,BEGINNER,https://placeimg.com/191/948/any,https://www.allen-ramos.com/
115,Office manager Fundamentals,Since sing industry instead strong benefit. Society president name people.,2 months,BEGINNER,https://dummyimage.com/549x21,https://www.young-rodriguez.com/
116,"Engineer, production Fundamentals",Student with floor dream. Accept current to light.,1 months,BEGINNER,https://dummyimage.com/253x381,http://carr-campbell.com/
117,Industrial buyer Fundamentals,Table shake charge the. And any just film. Every personal front.,4 months,BEGINNER,https://placekitten.com/75/286,http://shaw-schmitt.com/
118,Research scientist (life sciences) Fundamentals,Suggest let wear real political. Clearly sea explain wait role.,6 months,INTERMEDIATE,https://placeimg.com/479/881/any,https://www.clark.org/
119,Occupational hygienist Fundamentals,Program officer collection one vote individual middle.,1 months,BEGINNER,https://dummyimage.com/821x755,https://www.wolfe-woods.com/
